School Name,Region,State,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Stanford University,California,CA,"$70,400.00","$129,000.00","$68,400.00","$93,100.00","$184,000.00","$257,000.00"
California Institute of Technology (CIT),California,CA,"$75,500.00","$123,000.00",N/A,"$104,000.00","$161,000.00",N/A
Harvey Mudd College,California,CA,"$71,800.00","$122,000.00",N/A,"$96,000.00","$180,000.00",N/A
"University of California, Berkeley",California,CA,"$59,900.00","$112,000.00","$59,500.00","$81,000.00","$149,000.00","$201,000.00"
Occidental College,California,CA,"$51,900.00","$105,000.00",N/A,"$54,800.00","$157,000.00",N/A
Cal Poly San Luis Obispo,California,CA,"$57,200.00","$101,000.00","$55,000.00","$74,700.00","$133,000.00","$178,000.00"
University of California at Los Angeles (UCLA),California,CA,"$52,600.00","$101,000.00","$51,300.00","$72,500.00","$139,000.00","$193,000.00"
"University of California, San Diego (UCSD)",California,CA,"$51,100.00","$101,000.00","$51,700.00","$75,400.00","$131,000.00","$177,000.00"
Pomona College,California,CA,"$48,600.00","$101,000.00",N/A,"$63,300.00","$161,000.00",N/A
University of Southern California (USC),California,CA,"$54,800.00","$99,600.00","$49,700.00","$73,800.00","$140,000.00","$201,000.00"
"University of California, Davis",California,CA,"$52,300.00","$99,600.00","$52,000.00","$71,600.00","$135,000.00","$202,000.00"
"University of California, Irvine (UCI)",California,CA,"$48,300.00","$96,700.00","$47,800.00","$66,000.00","$123,000.00","$172,000.00"
San Jose State University (SJSU),California,CA,"$53,500.00","$95,600.00","$50,700.00","$70,500.00","$122,000.00","$156,000.00"
"University of California, Santa Barbara (UCSB)",California,CA,"$50,500.00","$95,000.00","$51,300.00","$71,200.00","$129,000.00","$173,000.00"
"California State University (CSU), Chico",California,CA,"$47,400.00","$88,100.00","$46,800.00","$62,800.00","$122,000.00","$154,000.00"
"California State University, Fullerton (CSUF)",California,CA,"$45,700.00","$87,000.00","$45,400.00","$62,500.00","$119,000.00","$158,000.00"
San Francisco State University (SFSU),California,CA,"$47,300.00","$86,400.00","$45,100.00","$62,700.00","$114,000.00","$150,000.00"
San Diego State University (SDSU),California,CA,"$46,200.00","$85,200.00","$45,500.00","$61,800.00","$116,000.00","$158,000.00"
"California State University, Long Beach (CSULB)",California,CA,"$45,100.00","$84,700.00","$47,400.00","$62,500.00","$113,000.00","$154,000.00"
"California State University, East Bay (CSUEB)",California,CA,"$49,200.00","$84,300.00","$46,000.00","$62,400.00","$115,000.00","$155,000.00"
"University of California, Santa Cruz (UCSC)",California,CA,"$44,700.00","$84,100.00","$46,100.00","$62,000.00","$121,000.00","$165,000.00"
"California State University, Sacramento (CSUS)",California,CA,"$47,800.00","$82,400.00","$42,900.00","$59,600.00","$111,000.00","$154,000.00"
"University of California, Riverside (UCR)",California,CA,"$46,800.00","$81,300.00","$37,200.00","$59,900.00","$109,000.00","$134,000.00"
"California State University, Northridge (CSUN)",California,CA,"$45,500.00","$80,400.00","$44,500.00","$57,800.00","$108,000.00","$153,000.00"
"California State University, Dominguez Hills (CSUDH)",California,CA,"$42,700.00","$72,100.00","$30,800.00","$47,000.00","$92,200.00","$132,000.00"
"California State University (CSU), Stanislaus",California,CA,"$38,000.00","$71,400.00",N/A,"$50,500.00","$94,100.00",N/A
Humboldt State University,California,CA,"$42,600.00","$71,300.00","$36,000.00","$56,300.00","$94,400.00","$117,000.00"
Thomas Aquinas College,California,CA,"$41,500.00","$67,500.00",N/A,"$44,600.00","$93,100.00",N/A
Colorado School of Mines,Western,CO,"$58,100.00","$106,000.00","$62,200.00","$87,900.00","$142,000.00","$201,000.00"
University of Colorado - Boulder (UCB),Western,CO,"$47,100.00","$97,600.00","$51,600.00","$69,000.00","$128,000.00","$187,000.00"
New Mexico Institute of Mining and Technology (New Mexico Tech),Western,NM,"$51,000.00","$93,400.00",N/A,"$67,400.00","$123,000.00",N/A
Brigham Young University (BYU),Western,UT,"$49,400.00","$88,600.00","$50,600.00","$68,500.00","$119,000.00","$164,000.00"
University of Arizona,Western,AZ,"$47,500.00","$86,100.00","$44,800.00","$61,700.00","$117,000.00","$160,000.00"
University of Washington (UW),Western,WA,"$48,800.00","$85,300.00","$47,000.00","$59,800.00","$115,000.00","$149,000.00"
Washington State University (WSU),Western,WA,"$45,300.00","$84,700.00","$43,600.00","$59,000.00","$113,000.00","$162,000.00"
University of Colorado - Denver,Western,CO,"$46,100.00","$84,400.00","$46,400.00","$58,600.00","$105,000.00","$144,000.00"
Arizona State University (ASU),Western,AZ,"$47,400.00","$84,100.00","$44,600.00","$60,700.00","$114,000.00","$163,000.00"
Oregon State University (OSU),Western,OR,"$45,100.00","$83,300.00","$46,900.00","$64,000.00","$113,000.00","$146,000.00"
