School Name,Region,State,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Stanford University,California,CA,70400,129000,68400,93100,184000,257000
California Institute of Technology (CIT),California,CA,75500,123000,N/A,104000,161000,N/A
Harvey Mudd College,California,CA,71800,122000,N/A,96000,180000,N/A
"University of California, Berkeley",California,CA,59900,112000,59500,81000,149000,201000
Occidental College,California,CA,51900,105000,N/A,54800,157000,N/A
Cal Poly San Luis Obispo,California,CA,57200,101000,55000,74700,133000,178000
University of California at Los Angeles (UCLA),California,CA,52600,101000,51300,72500,139000,193000
"University of California, San Diego (UCSD)",California,CA,51100,101000,51700,75400,131000,177000
Pomona College,California,CA,48600,101000,N/A,63300,161000,N/A
University of Southern California (USC),California,CA,54800,99600,49700,73800,140000,201000
"University of California, Davis",California,CA,52300,99600,52000,71600,135000,202000
"University of California, Irvine (UCI)",California,CA,48300,96700,47800,66000,123000,172000
San Jose State University (SJSU),California,CA,53500,95600,50700,70500,122000,156000
"University of California, Santa Barbara (UCSB)",California,CA,50500,95000,51300,71200,129000,173000
"California State University (CSU), Chico",California,CA,47400,88100,46800,62800,122000,154000
"California State University, Fullerton (CSUF)",California,CA,45700,87000,45400,62500,119000,158000
San Francisco State University (SFSU),California,CA,47300,86400,45100,62700,114000,150000
San Diego State University (SDSU),California,CA,46200,85200,45500,61800,116000,158000
"California State University, Long Beach (CSULB)",California,CA,45100,84700,47400,62500,113000,154000
"California State University, East Bay (CSUEB)",California,CA,49200,84300,46000,62400,115000,155000
"University of California, Santa Cruz (UCSC)",California,CA,44700,84100,46100,62000,121000,165000
"California State University, Sacramento (CSUS)",California,CA,47800,82400,42900,59600,111000,154000
"University of California, Riverside (UCR)",California,CA,46800,81300,37200,59900,109000,134000
"California State University, Northridge (CSUN)",California,CA,45500,80400,44500,57800,108000,153000
"California State University, Dominguez Hills (CSUDH)",California,CA,42700,72100,30800,47000,92200,132000
"California State University (CSU), Stanislaus",California,CA,38000,71400,N/A,50500,94100,N/A
Humboldt State University,California,CA,42600,71300,36000,56300,94400,117000
Thomas Aquinas College,California,CA,41500,67500,N/A,44600,93100,N/A
